customer id,gender,dob,city_id
1,F,29-03-1992,7
2,M,01-02-1993,13
3,F,07-01-1994,6
4,M,05-10-1997,8
5,M,04-08-2007,15
6,M,09-01-2003,13
7,M,20-08-1981,16
8,M,12-02-1983,11
9,F,07-04-1992,9
10,M,19-08-2005,17
11,F,08-06-1985,19
12,M,30-06-1985,15
13,M,18-09-1987,2
14,M,22-02-1983,9
15,M,05-05-1986,9
16,M,03-10-1993,15
17,F,23-05-1992,9
18,M,19-04-1989,4
19,M,26-07-1992,19
20,M,14-03-1983,9
21,M,14-09-1989,15
22,F,18-08-1986,7
23,F,24-11-1983,11
24,F,01-03-1996,14
25,M,14-06-2009,7
26,M,21-06-2009,16
27,M,26-03-1981,9
28,F,28-12-1995,14
29,M,28-03-1994,5
30,F,20-04-2010,16
31,M,31-05-1999,2
32,F,05-09-2001,10
33,F,13-05-1985,11
34,F,17-12-1996,4
35,F,10-01-2006,17
36,M,20-01-2008,2
37,F,27-07-1998,10
38,F,19-02-1982,9
39,F,21-09-1984,17
40,F,28-02-1983,10
41,F,30-08-1996,9
42,F,08-05-2006,20
43,F,25-08-1984,6
44,M,19-09-1995,17
45,F,27-04-1998,1
46,F,25-03-2007,5
47,M,17-08-2001,18
48,F,26-09-1989,17
49,M,14-03-2005,13
50,M,01-02-2004,16
51,F,06-09-2001,6
52,F,22-10-1986,15
53,F,27-02-1983,18
54,F,13-11-1984,9
55,F,10-11-2000,14
56,F,29-08-1992,7
57,F,10-11-1992,11
58,F,24-08-2000,20
59,F,29-01-1997,1
60,M,07-11-2002,13
61,M,10-05-2006,15
62,M,11-05-2008,11
63,F,03-04-2010,15
64,M,08-08-1982,1
65,F,02-03-2000,15
66,F,02-11-1985,19
67,F,07-03-2001,11
68,F,02-10-2010,9
69,M,20-04-2007,3
70,M,08-10-1981,2
71,F,22-12-2001,14
72,M,24-03-1987,14
73,F,25-06-2001,7
74,M,22-02-2010,6
75,F,04-05-1982,16
76,F,26-09-2003,1
77,M,24-08-2009,19
78,M,11-05-2002,10
79,F,02-02-2007,9
80,M,21-01-1989,7
81,M,17-10-2009,6
82,M,17-05-2001,13
83,M,12-04-1993,4
84,M,09-12-1985,9
85,F,08-12-2000,12
86,F,15-09-1995,1
87,F,07-10-1984,13
88,F,10-09-1997,19
89,M,01-11-1991,15
90,F,01-09-2001,8
91,M,23-12-2008,12
92,F,05-06-2009,5
93,M,29-05-1991,2
94,M,19-05-1994,18
95,M,10-06-2005,14
96,M,14-09-1995,1
97,F,02-09-2005,3
98,M,12-08-1997,15
99,M,23-10-1999,16
100,F,16-06-2004,19
101,M,07-06-1986,4
102,F,14-02-1982,13
103,M,13-05-2005,1
104,F,11-05-2003,2
105,M,02-12-1984,10
106,M,21-07-1988,16
107,M,04-07-1991,14
108,F,28-12-1990,4
109,M,17-06-2002,15
110,M,17-01-2010,6
111,M,03-11-1990,11
112,M,20-06-1996,5
113,F,23-04-2007,15
114,F,21-11-1999,18
115,F,11-08-1984,17
116,M,31-05-1983,20
117,M,25-08-1988,19
118,M,06-06-1980,18
119,M,04-08-1999,11
120,F,08-04-2008,2
121,F,05-09-2003,16
122,F,24-06-1999,12
123,F,08-05-2006,11
124,F,09-01-1980,19
125,M,11-07-1998,9
126,F,12-02-2010,7
127,F,18-07-2007,19
128,M,09-08-2003,20
129,M,17-09-1992,19
130,M,13-11-1995,12
131,F,10-04-2005,17
132,M,07-08-2000,13
133,F,30-07-1983,2
134,F,29-01-1981,15
135,M,02-01-1988,10
136,F,28-12-1989,12
137,M,10-05-1993,8
138,M,17-10-1986,20
139,M,02-11-1980,15
140,F,18-04-1999,11
141,M,15-06-2001,7
142,M,27-09-1981,16
143,F,03-09-1984,13
144,F,08-11-1982,20
145,F,25-06-2006,8
146,F,14-04-1992,19
147,F,14-09-1988,5
148,F,20-05-2007,19
149,F,03-06-2001,1
150,M,06-09-1997,6
151,M,10-11-1984,4
152,F,23-04-1986,3
153,M,23-12-1981,6
154,M,24-01-1995,19
155,F,12-04-1990,13
156,M,20-12-1996,13
157,M,28-05-1984,4
158,F,17-10-1988,16
159,M,10-07-1999,9
160,F,17-04-2010,15
161,F,23-10-1997,8
162,F,28-01-1986,19
163,M,17-06-1985,8
164,M,14-12-1984,8
165,M,23-01-2009,20
166,M,23-10-1981,6
167,M,06-02-1995,8
168,M,18-06-1999,3
169,F,03-01-1992,3
170,M,30-06-2007,19
171,M,26-08-2000,9
172,F,28-09-2010,15
173,M,27-09-1990,15
174,M,31-01-1992,3
175,F,03-09-1996,12
176,F,17-12-2001,3
177,F,11-02-1981,17
178,M,11-03-1994,4
179,M,21-01-1984,17
180,F,09-01-1984,1
181,M,10-09-2010,1
182,M,28-11-1986,17
183,M,03-09-1995,9
184,M,02-01-1980,17
185,F,03-06-1983,13
186,F,07-04-1997,16
187,F,24-09-1981,10
188,M,04-04-2009,13
189,M,23-10-1997,16
190,F,16-01-2003,16
191,M,27-01-1991,2
192,M,15-02-1997,8
193,F,11-11-1989,19
194,M,10-05-1997,13
195,M,08-03-1985,20
196,M,22-04-2005,8
197,F,05-04-1995,14
198,F,12-08-2002,19
199,M,03-08-1983,16
200,M,29-09-2003,5
201,M,12-01-2001,12
202,M,17-08-1991,13
203,F,07-05-1980,14
204,F,28-05-2001,7
205,F,22-10-1985,18
206,M,26-01-1988,20
207,F,29-01-1993,14
208,F,21-05-1996,19
209,M,01-02-1995,8
210,M,14-08-2004,11
211,F,06-12-2004,3
212,M,13-08-1994,19
213,F,25-02-1992,5
214,M,04-10-2000,6
215,M,29-04-1984,12
216,F,17-02-1995,13
217,F,08-02-1998,4
218,M,05-10-2007,5
219,F,18-10-2001,2
220,F,12-10-2004,7
221,M,27-07-1997,19
222,M,18-05-1982,5
223,M,28-01-2010,17
224,M,19-07-2010,12
225,M,25-08-1997,8
226,F,24-08-1998,14
227,F,18-07-2005,12
228,M,14-10-1983,13
229,M,09-09-1980,14
230,M,07-08-2007,9
231,M,26-05-1998,9
232,F,08-11-2004,5
233,F,13-10-1997,11
234,M,12-10-2000,11
235,M,15-06-2008,7
236,M,27-08-1990,18
237,F,22-06-1994,2
238,F,30-12-2010,14
239,M,21-05-1983,15
240,F,16-03-2008,14
241,M,11-08-2001,7
242,F,21-12-1996,6
243,F,15-11-2004,17
244,F,24-05-1997,12
245,F,27-10-2007,4
246,F,02-05-1993,11
247,M,03-09-1986,17
248,M,12-04-1984,18
249,M,06-08-1985,20
250,M,07-08-1998,3
251,M,23-09-1982,13
252,F,11-07-2005,18
253,F,10-12-1991,12
254,M,18-11-2006,9
255,F,10-11-2001,19
256,F,30-11-1991,17
257,F,04-10-1982,11
258,F,08-05-1985,7
259,F,28-08-2002,20
260,M,10-04-1985,5
261,F,22-04-1988,1
262,M,26-06-1993,11
263,F,06-04-1984,15
264,M,08-02-2007,19
265,F,30-12-1991,13
266,M,03-12-1992,12
267,F,16-04-1989,6
268,F,12-01-1981,15
269,M,02-03-1980,8
270,M,24-01-1996,1
271,F,10-04-2001,14
272,M,03-07-1997,20
273,F,28-10-2005,16
274,F,29-09-1992,7
275,F,31-05-1994,2
276,F,08-04-2005,16
277,F,02-10-2006,13
278,M,10-09-1998,17
279,M,02-08-1998,20
280,M,08-03-1987,11
281,F,23-07-1991,3
282,F,05-08-1994,6
283,M,04-03-2002,14
284,M,13-02-1989,10
285,F,28-10-1990,6
286,F,15-12-2010,9
287,F,05-05-2007,10
288,F,08-05-1983,13
289,F,24-11-1993,9
290,M,18-01-2002,15
291,M,09-07-1991,5
292,M,16-08-1989,1
293,M,12-06-2005,10
294,M,07-07-1992,20
295,M,23-03-1987,7
296,F,27-05-1997,13
297,M,27-06-2007,5
298,M,04-08-2005,17
299,F,25-02-1989,4
300,F,23-02-2000,17
301,M,27-05-1997,16
302,M,20-09-1998,20
303,F,24-02-2003,19
304,F,09-05-1987,6
305,F,14-09-1982,10
306,F,16-12-1986,2
307,F,22-06-1982,17
308,F,20-05-2007,16
309,M,05-09-2010,8
310,M,20-09-1981,15
311,F,26-04-2004,14
312,M,16-04-2003,18
313,F,04-04-1982,8
314,F,03-06-1983,1
315,F,21-03-1997,17
316,M,25-03-1990,19
317,M,02-12-2000,2
318,M,13-08-2005,7
319,M,23-01-1982,12
320,M,13-11-2006,1
321,M,29-07-1987,14
322,M,28-09-1985,11
323,M,05-07-1995,14
324,M,23-05-1992,19
325,M,20-03-1990,8
326,M,08-08-1980,5
327,M,12-08-1990,20
328,F,19-04-1990,12
329,M,03-10-2004,1
330,F,22-08-1990,10
331,F,22-06-1992,4
332,F,14-07-1984,3
333,M,10-03-2000,8
334,M,24-05-1996,8
335,F,19-10-1989,6
336,F,15-08-2004,19
337,F,29-04-1998,20
338,M,24-05-1987,1
339,M,13-11-2004,9
340,M,25-04-1994,11
341,M,25-01-1982,11
342,M,11-07-1994,19
343,F,13-07-1991,3
344,F,07-01-2003,7
345,M,11-08-1995,19
346,M,05-04-1996,18
347,F,14-11-1994,16
348,M,14-05-1997,1
349,F,17-08-1993,20
350,F,15-07-2010,6
351,F,24-03-2008,8
352,F,29-02-1996,20
353,M,10-01-2010,1
354,F,01-07-1986,4
355,F,01-09-1993,17
356,M,07-05-2003,13
357,F,29-08-1991,13
358,F,30-01-2004,1
359,M,09-07-2008,19
360,M,30-10-1987,19
361,M,26-08-2005,10
362,M,22-05-1986,17
363,F,18-11-2005,16
364,F,19-08-1987,14
365,M,29-11-2001,19
366,F,23-06-2010,5
367,M,23-07-1991,9
368,F,26-12-2008,7
369,M,18-03-1983,18
370,F,29-05-2000,18
371,M,19-07-2005,18
372,M,03-06-1983,19
373,F,07-11-1997,6
374,M,27-04-1984,11
375,F,04-03-2006,11
376,F,05-08-1984,16
377,M,18-05-1980,15
378,F,23-12-2009,9
379,M,28-12-2002,1
380,F,28-02-1994,18
381,F,21-08-1983,20
382,F,18-10-1991,3
383,M,13-08-2007,17
384,F,23-08-2001,18
385,F,07-12-1998,15
386,F,23-02-2006,17
387,F,08-12-1995,12
388,M,12-03-1981,19
389,F,13-03-1989,17
390,M,14-02-1997,12
391,F,28-06-1992,10
392,F,18-09-1999,10
393,F,05-08-2002,7
394,F,12-12-1982,7
395,F,28-08-1996,2
396,F,21-06-2009,2
397,M,11-08-1992,4
398,F,17-03-1989,5
399,M,15-11-1981,11
400,F,20-07-1982,9
401,F,03-01-1982,12
402,F,13-05-1991,19
403,M,13-08-1990,6
404,M,24-07-1989,3
405,M,13-01-1985,8
406,F,19-12-2008,3
407,F,12-08-2006,16
408,F,11-04-2005,17
409,M,21-08-1985,10
410,M,23-11-1983,8
411,M,03-06-1996,9
412,M,11-01-2006,15
413,F,08-11-1994,20
414,M,21-06-2000,9
415,M,23-10-1992,2
416,M,04-10-1995,11
417,M,18-04-2009,12
418,F,10-11-1997,20
419,M,21-12-2006,5
420,F,12-12-1981,9
421,F,10-06-1986,14
422,F,17-06-1986,5
423,F,29-01-1982,4
424,M,12-03-1985,8
425,M,02-09-1982,18
426,M,19-09-2000,18
427,M,25-10-2009,1
428,F,21-10-2001,4
429,F,24-05-1998,13
430,F,03-09-2006,7
431,F,20-06-2006,7
432,M,29-05-1994,4
433,M,04-12-2007,11
434,M,16-12-1985,12
435,F,18-08-2004,14
436,M,14-08-1999,3
437,F,23-01-1981,11
438,F,07-07-2005,17
439,M,19-09-2009,7
440,M,27-11-2008,12
441,F,20-07-1985,5
442,F,25-01-2002,3
443,M,08-04-1992,16
444,F,15-08-1997,7
445,M,16-11-2005,9
446,F,19-01-1997,9
447,F,13-02-1983,20
448,M,27-08-2001,4
449,M,22-11-1992,6
450,M,01-02-1987,2
451,F,14-09-1991,8
452,M,16-11-1987,11
453,F,02-09-1980,1
454,M,27-11-1997,17
455,M,03-05-2003,8
456,F,29-07-2004,10
457,F,27-12-1998,12
458,F,17-03-1983,2
459,F,03-02-1994,8
460,M,16-11-1987,14
461,M,02-04-1987,16
462,F,21-02-1986,19
463,M,02-10-1994,19
464,F,07-05-1984,12
465,M,16-10-1998,15
466,F,26-02-1997,10
467,M,29-09-1982,3
468,F,07-04-1997,20
469,F,12-03-1995,5
470,F,01-12-1994,2
471,F,27-04-1999,5
472,F,25-01-2008,7
473,M,22-04-2000,17
474,F,24-07-2010,16
475,F,19-06-1982,1
476,F,02-05-1982,8
477,F,25-09-1990,16
478,F,04-02-2000,6
479,F,11-02-1999,6
480,M,20-11-1995,8
481,F,17-12-1982,8
482,F,23-06-1999,16
483,F,07-07-1984,6
484,F,04-06-1985,10
485,F,01-11-1981,9
486,F,22-05-1986,14
487,M,25-10-2010,5
488,F,02-12-2009,8
489,M,04-05-1986,9
490,M,06-08-2007,15
491,M,24-01-1984,7
492,M,19-07-1980,18
493,M,28-07-1993,11
494,F,31-03-1980,9
495,M,29-05-2004,4
496,M,28-01-2009,5
497,F,12-10-2009,17
498,F,10-11-2007,13
499,F,02-04-1999,11
500,M,16-05-1989,3
501,M,01-01-2000,3
